"data";"horario";"arquivo";"produto";"formato";"tom";"duracao_s";"views";"curtidas";"comentarios";"cliques_sacolinha";"pedidos";"obs"
"2026-06-12";"09:30";"ambos_bege_preto.mp4";"ambos_bege_preto";"";"";"16.0";"";"";"";"";"";""
"2026-06-12";"11:00";"ambos_preto_bege.mp4";"ambos_preto_bege";"";"";"16.0";"";"";"";"";"";""
"2026-06-12";"12:00";"brasil-lolive-v2.mp4";"brasil-lolive-v2";"legenda";"agressivo";"11.0";"";"";"";"";"";""
"2026-06-12";"12:45";"brazil_casal.mp4";"brazil_casal";"";"";"8.0";"";"";"";"";"";""
"2026-06-12";"13:30";"brazil_narrado.mp4";"brazil_narrado";"";"";"9.8";"";"";"";"";"";""
"2026-06-12";"15:30";"calcinha_kit.mp4";"calcinha_kit";"";"";"18.0";"29";"";"";"";"";"melhor video ate agora: kit calcinha R$11,98 + selo promo + musica sexy + foco antifungos (dor->resolucao)"
"2026-06-12";"16:00";"cropped-feminino-suplex-premium-manga-longa-decotado-justo-blogueira-moda-inverno-alta-elasticidade.mp4";"Cropped Feminino Suplex Premium Manga Longa Decotado Justo Blogueira Moda Inverno Alta Elasticidade";"voz";"agressivo";"37.0";"";"";"";"";"";""
"2026-06-12";"17:00";"kit-3-tops-tube-feminino-canelado-versatil-moderno-tendencia-casual-ajuste-perfeito-conforto-estilo.mp4";"Kit 3 Tops Tube Feminino Canelado Versátil Moderno Tendência Casual Ajuste Perfeito Conforto Estilo";"legenda";"equilibrado";"26.5";"";"";"";"";"";""
"2026-06-12";"18:30";"legging_aqn.mp4";"legging_aqn";"";"";"12.1";"";"";"";"";"";""
"2026-06-12";"19:30";"lolive_brasil_top.mp4";"lolive_brasil_top";"";"";"21.5";"";"";"";"";"";""
"2026-06-12";"20:30";"rec_shopee.mp4";"rec_shopee";"";"";"25.6";"";"";"";"";"";""
"2026-06-12";"21:00";"solo_bege.mp4";"solo_bege";"";"";"8.0";"";"";"";"";"";""
"2026-06-12";"22:00";"solo_preto.mp4";"solo_preto";"";"";"8.0";"";"";"";"";"";""
